selling_price,km_driven,age,make,model,Petrol,Manual
3.7,25000,5,RENAULT,KWID CLIMBER,1,0
2,70000,17,MARUTI,WAGON R,1,1
6.25,21000,5,MARUTI,BALENO DELTA,0,1
12.9,39000,5,MAHINDRA,SCORPIO S7,0,1
8.9,30000,6,HYUNDAI,CRETA 1.6,1,1
4.2,61000,11,HYUNDAI,VERNA 1.6,0,1
5,5743,6,MARUTI,SWIFT LXI,1,1
7.5,44000,6,NISSAN,TERRANO XL,0,1
6,24200,5,HYUNDAI,GRAND I10,1,1
5.9,57000,6,MARUTI,BALENO DELTA,0,1
1.9,58000,12,HYUNDAI,I10 MAGNA,1,1
5,15000,6,DATSUN,GO PLUS,1,1
4.5,10000,6,MARUTI,CELERIO ZXI,1,1
5.5,70000,7,MAHINDRA,NUVOSPORT N8,0,1
1.7,65000,12,CHEVROLET,BEAT LT,1,1
6.5,100000,8,MAHINDRA,XUV500 W6,0,1
20.9025,2000,3,BMW,Z4 M40I,1,0
5,10000,3,MARUTI,WAGON R,1,1
5,10000,8,HYUNDAI,XCENT 1.2,1,0
1.4,43000,14,MARUTI,ALTO LXI,1,1
3.49,64000,10,HONDA,AMAZE S,0,1
3.25,30000,9,MARUTI,WAGON R,1,1
4.35,63000,9,HONDA,CITY I,1,1
4.55,28000,5,MARUTI,CELERIO VXI,0,1
20.9025,25000,5,LAND,ROVER DISCOVERY,1,0
7.55,32226,6,HONDA,CITY I,1,1
6.5,63432,10,RENAULT,KOLEOS 2.0,0,0
20.9025,8000,5,AUDI,A3 CABRIOLET,1,0
2.5,80000,10,HONDA,BRIO V,1,1
2.45,65000,9,MARUTI,ALTO K10,1,1
13.5,14000,4,KIA,SELTOS HTK,0,1
2.15,90760,10,TATA,INDIGO LX,0,1
4,80000,7,TATA,INDIGO LX,0,1
3.1,15000,5,RENAULT,KWID AMT,1,0
12.65,12851,5,RENAULT,CAPTUR 1.5,0,1
20.9025,30000,5,BMW,6 SERIES,1,0
20.9025,80000,7,TOYOTA,LAND CRUISER,1,0
6.75,32000,5,MARUTI,SWIFT DZIRE,0,1
5,30000,4,MARUTI,WAGON R,1,1
3,25000,13,HYUNDAI,I10 SPORTZ,1,1
14.5,35000,7,MAHINDRA,SCORPIO S10,0,0
5.3,140000,10,MAHINDRA,SCORPIO VLX,0,1
5.75,65597,9,FORD,ECOSPORT 1.5,0,1
2.4,61785,11,HYUNDAI,SANTRO XING,0,1
5.5,35000,6,HYUNDAI,I20 2015-2017,1,1
5,160000,9,MARUTI,CIAZ VDI,0,1
6.43,7124,3,MARUTI,BALENO DELTA,1,1
10,15000,4,FORD,ECOSPORT 2015-2021,1,1
6.11,22979,5,HYUNDAI,XCENT 1.2,0,1
3.1,150000,9,TOYOTA,ETIOS LIVA,0,1
5.5,34000,7,HYUNDAI,GRAND I10,1,1
3.5,42000,8,RENAULT,SCALA DIESEL,0,1
3,280000,12,VOLKSWAGEN,VENTO DIESEL,0,1
4.7,40000,5,TATA,TIGOR 1.2,1,1
5.25,77000,9,HONDA,CITY I,0,1
4.69,15000,6,DATSUN,GO PLUS,1,1
2.1,60000,11,MARUTI,ALTO K10,1,1
2,120000,10,MARUTI,ALTO 800,1,1
4,2500,4,RENAULT,KWID 1.0,1,1
20.9025,50000,10,JAGUAR,XF 2.2,0,0
3.4,46500,7,MARUTI,CELERIO ZXI,1,1
0.95,5000,18,MARUTI,ALTO LXI,1,1
20.5,69000,8,AUDI,Q3 35,0,0
3.81,68000,11,MARUTI,SWIFT VDI,0,1
7.75,45000,12,MERCEDES-BENZ,C-CLASS C,0,0
7,20000,6,MARUTI,SWIFT DZIRE,0,1
6.75,106000,6,MARUTI,CIAZ ALPHA,0,1
6.7,28000,8,HONDA,CITY I,1,0
10.5,50000,5,MAHINDRA,XUV500 W6,0,1
3.15,70000,9,RENAULT,SCALA DIESEL,0,1
20.9025,19000,4,BMW,X5 XDRIVE,0,0
3.6,55000,12,HONDA,CITY 1.5,1,1
4,53000,6,FORD,FIGO 1.5D,0,1
4.7,89000,9,HYUNDAI,VERNA 1.6,0,1
3.04,22000,5,MARUTI,ALTO 800,1,1
5.25,90000,5,TATA,ZEST QUADRAJET,0,1
4.9,69000,9,HONDA,CITY I,0,1
8.64,155000,7,MAHINDRA,SCORPIO 1.99,0,1
4.8,85000,10,MAHINDRA,XUV500 W6,0,1
3.5,50000,7,HYUNDAI,XCENT 1.2,1,1
5.75,3600,4,MARUTI,WAGON R,1,0
20.9025,15000,5,MERCEDES-BENZ,CLA 200,0,0
6.86,5000,4,MARUTI,BALENO DELTA,1,0
3,40000,16,MARUTI,SX4 VXI,1,1
1.03,120000,23,DAEWOO,MATIZ SA,1,1
7.8,143000,8,TOYOTA,INNOVA 2.5,0,1
20.9025,24000,5,AUDI,A6 35,0,0
20.9025,15000,11,BENTLEY,MULSANNE 6.8,1,0
16.99,28000,4,MG,HECTOR SMART,0,1
2.75,65000,7,HONDA,BRIO 1.2,1,1
8,44000,4,MARUTI,SWIFT ZDI,0,1
6.8,10000,5,MARUTI,BALENO ZETA,1,0
12,200000,13,TOYOTA,FORTUNER 3.0,0,1
5.25,187031,11,TOYOTA,INNOVA 2.5,0,1
9.55,22346,4,FORD,ECOSPORT 2015-2021,1,1
3.5,120000,11,HYUNDAI,I20 1.4,0,1
8,1000,3,MARUTI,VITARA BREZZA,1,1
0.75,56700,18,MARUTI,ALTO LX,1,1
8.25,170000,8,MAHINDRA,XUV500 W6,0,1
14.76,60000,4,MAHINDRA,MARAZZO M8,0,1
6.7,40000,5,HONDA,JAZZ V,1,0
1.8,28000,11,MARUTI,ALTO LXI,1,1
3.5,85000,9,RENAULT,SCALA RXL,1,1
4.9,35000,6,HYUNDAI,GRAND I10,1,1
5.5,20000,6,MARUTI,BALENO ZETA,1,1
3.5,40000,9,HYUNDAI,I10 SPORTZ,1,1
2.45,65000,14,TOYOTA,COROLLA ALTIS,1,1
15,35000,4,TOYOTA,INNOVA CRYSTA,0,1
2.5,54417,10,HYUNDAI,EON ERA,1,1
1.9,74000,11,FORD,FIGO DIESEL,0,1
4,47592,6,VOLKSWAGEN,AMEO 1.2,1,1
4.6,46500,9,RENAULT,DUSTER 85PS,0,1
6.5,8000,4,MARUTI,SWIFT AMT,1,0
